customer_id,first_name,last_name,email
1,María,González,maría.gonzález.1@example.com
2,María,Silva,maría.silva.2@example.com
3,Juan,Pérez,juan.pérez.3@example.com
4,Lucas,Ruiz,lucas.ruiz.4@example.com
5,Mateo,Ruiz,mateo.ruiz.5@example.com
6,María,García,maría.garcía.6@example.com
7,Sofía,Flores,sofía.flores.7@example.com
8,Lucas,Sánchez,lucas.sánchez.8@example.com
9,Juan,Rodríguez,juan.rodríguez.9@example.com
10,Tomás,Fernández,tomás.fernández.10@example.com
11,Santiago,Álvarez,santiago.álvarez.11@example.com
12,Lucas,Gómez,lucas.gómez.12@example.com
13,Camila,Rodríguez,camila.rodríguez.13@example.com
14,Emma,García,emma.garcía.14@example.com
15,Felipe,Torres,felipe.torres.15@example.com
16,Emma,López,emma.lópez.16@example.com
17,Lara,Ruiz,lara.ruiz.17@example.com
18,Lucía,Medina,lucía.medina.18@example.com
19,Lucía,Martínez,lucía.martínez.19@example.com
20,Isabella,Molina,isabella.molina.20@example.com
21,Lucas,Díaz,lucas.díaz.21@example.com
22,Joaquín,Martínez,joaquín.martínez.22@example.com
23,Mateo,Medina,mateo.medina.23@example.com
24,Franco,Pérez,franco.pérez.24@example.com
25,Olivia,González,olivia.gonzález.25@example.com
26,Santiago,Sánchez,santiago.sánchez.26@example.com
27,Felipe,García,felipe.garcía.27@example.com
28,Felipe,Silva,felipe.silva.28@example.com
29,Lucas,Pérez,lucas.pérez.29@example.com
30,Olivia,Flores,olivia.flores.30@example.com
31,Alex,Rojas,alex.rojas.31@example.com
32,Juan,Rodríguez,juan.rodríguez.32@example.com
33,Juan,Medina,juan.medina.33@example.com
34,Lucas,López,lucas.lópez.34@example.com
35,Felipe,Ruiz,felipe.ruiz.35@example.com
36,Joaquín,Ruiz,joaquín.ruiz.36@example.com
37,Sofía,Torres,sofía.torres.37@example.com
38,Valentina,Pérez,valentina.pérez.38@example.com
39,Emma,Flores,emma.flores.39@example.com
40,Lucas,Fernández,lucas.fernández.40@example.com
41,Juan,Gómez,juan.gómez.41@example.com
42,Isabella,Rodríguez,isabella.rodríguez.42@example.com
43,Martina,Sánchez,martina.sánchez.43@example.com
44,Valentina,Sánchez,valentina.sánchez.44@example.com
45,Camila,Rodríguez,camila.rodríguez.45@example.com
46,Mateo,Rodríguez,mateo.rodríguez.46@example.com
47,Franco,García,franco.garcía.47@example.com
48,Lara,Gómez,lara.gómez.48@example.com
49,Lara,Rojas,lara.rojas.49@example.com
50,Camila,Gómez,camila.gómez.50@example.com
51,Camila,García,camila.garcía.51@example.com
52,Lucas,Pérez,lucas.pérez.52@example.com
53,Tomás,Álvarez,tomás.álvarez.53@example.com
54,Franco,Medina,franco.medina.54@example.com
55,Lucía,Díaz,lucía.díaz.55@example.com
56,Benjamín,Molina,benjamín.molina.56@example.com
57,Olivia,Acosta,olivia.acosta.57@example.com
58,Joaquín,Díaz,joaquín.díaz.58@example.com
59,Mateo,Flores,mateo.flores.59@example.com
60,Juan,López,juan.lópez.60@example.com
61,Joaquín,López,joaquín.lópez.61@example.com
62,Valentina,Gómez,valentina.gómez.62@example.com
63,Tomás,Martínez,tomás.martínez.63@example.com
64,Alex,Martínez,alex.martínez.64@example.com
65,Emma,Martínez,emma.martínez.65@example.com
66,Felipe,Gómez,felipe.gómez.66@example.com
67,Benjamín,Gómez,benjamín.gómez.67@example.com
68,Camila,Díaz,camila.díaz.68@example.com
69,Olivia,Torres,olivia.torres.69@example.com
70,Alex,Fernández,alex.fernández.70@example.com
71,Sofía,Fernández,sofía.fernández.71@example.com
72,Franco,Medina,franco.medina.72@example.com
73,Sofía,Ruiz,sofía.ruiz.73@example.com
74,Santiago,Ruiz,santiago.ruiz.74@example.com
75,María,Sánchez,maría.sánchez.75@example.com
76,Isabella,Sánchez,isabella.sánchez.76@example.com
77,Mateo,Molina,mateo.molina.77@example.com
78,Benjamín,Sánchez,benjamín.sánchez.78@example.com
79,Martina,Flores,martina.flores.79@example.com
80,Juan,Sánchez,juan.sánchez.80@example.com
81,Tomás,Sánchez,tomás.sánchez.81@example.com
82,Sofía,Gómez,sofía.gómez.82@example.com
83,Joaquín,Rojas,joaquín.rojas.83@example.com
84,Isabella,Gómez,isabella.gómez.84@example.com
85,Joaquín,Gómez,joaquín.gómez.85@example.com
86,Sofía,Silva,sofía.silva.86@example.com
87,Lucía,Flores,lucía.flores.87@example.com
88,Franco,Medina,franco.medina.88@example.com
89,Mateo,Acosta,mateo.acosta.89@example.com
90,Olivia,Acosta,olivia.acosta.90@example.com
91,Benjamín,Gómez,benjamín.gómez.91@example.com
92,Lucía,López,lucía.lópez.92@example.com
93,Juan,Ruiz,juan.ruiz.93@example.com
94,Sofía,Pérez,sofía.pérez.94@example.com
95,Felipe,González,felipe.gonzález.95@example.com
96,Lucas,Silva,lucas.silva.96@example.com
97,Tomás,Díaz,tomás.díaz.97@example.com
98,Isabella,Martínez,isabella.martínez.98@example.com
99,Alex,Torres,alex.torres.99@example.com
100,Joaquín,López,joaquín.lópez.100@example.com
101,Isabella,Romero,isabella.romero.101@example.com
102,Emma,Ruiz,emma.ruiz.102@example.com
103,Lucas,Rodríguez,lucas.rodríguez.103@example.com
104,Alex,Gómez,alex.gómez.104@example.com
105,Lucía,Acosta,lucía.acosta.105@example.com
106,Emma,Álvarez,emma.álvarez.106@example.com
107,Benjamín,Fernández,benjamín.fernández.107@example.com
108,Isabella,Pérez,isabella.pérez.108@example.com
109,Benjamín,Molina,benjamín.molina.109@example.com
110,Lucas,Ruiz,lucas.ruiz.110@example.com
111,Alex,Ruiz,alex.ruiz.111@example.com
112,Martina,López,martina.lópez.112@example.com
113,Franco,Silva,franco.silva.113@example.com
114,Camila,Gómez,camila.gómez.114@example.com
115,Tomás,Flores,tomás.flores.115@example.com
116,Alex,Acosta,alex.acosta.116@example.com
117,Santiago,Díaz,santiago.díaz.117@example.com
118,Olivia,Pérez,olivia.pérez.118@example.com
119,Lucas,Gómez,lucas.gómez.119@example.com
120,Alex,García,alex.garcía.120@example.com
121,Lara,Álvarez,lara.álvarez.121@example.com
122,Lucas,Romero,lucas.romero.122@example.com
123,Emma,Gómez,emma.gómez.123@example.com
124,Lucas,Martínez,lucas.martínez.124@example.com
125,Lara,Medina,lara.medina.125@example.com
126,Benjamín,Gómez,benjamín.gómez.126@example.com
127,Lucía,Díaz,lucía.díaz.127@example.com
128,Felipe,Fernández,felipe.fernández.128@example.com
129,Felipe,Flores,felipe.flores.129@example.com
130,Felipe,Fernández,felipe.fernández.130@example.com
131,Lara,Rodríguez,lara.rodríguez.131@example.com
132,Tomás,Fernández,tomás.fernández.132@example.com
133,Isabella,Flores,isabella.flores.133@example.com
134,Lara,Molina,lara.molina.134@example.com
135,Valentina,Díaz,valentina.díaz.135@example.com
136,Lucas,García,lucas.garcía.136@example.com
137,Benjamín,Rodríguez,benjamín.rodríguez.137@example.com
138,Juan,Gómez,juan.gómez.138@example.com
139,María,Silva,maría.silva.139@example.com
140,Juan,Rodríguez,juan.rodríguez.140@example.com
141,María,Flores,maría.flores.141@example.com
142,Olivia,Silva,olivia.silva.142@example.com
143,Camila,Molina,camila.molina.143@example.com
144,Emma,Rojas,emma.rojas.144@example.com
145,Olivia,Flores,olivia.flores.145@example.com
146,Juan,Acosta,juan.acosta.146@example.com
147,Mateo,Romero,mateo.romero.147@example.com
148,Lucas,Rodríguez,lucas.rodríguez.148@example.com
149,María,Torres,maría.torres.149@example.com
150,Martina,Ruiz,martina.ruiz.150@example.com
151,Martina,Rodríguez,martina.rodríguez.151@example.com
152,Martina,Acosta,martina.acosta.152@example.com
153,Benjamín,Silva,benjamín.silva.153@example.com
154,María,Flores,maría.flores.154@example.com
155,Benjamín,Medina,benjamín.medina.155@example.com
156,Tomás,Flores,tomás.flores.156@example.com
157,Lucía,García,lucía.garcía.157@example.com
158,Olivia,Díaz,olivia.díaz.158@example.com
159,Lucía,Flores,lucía.flores.159@example.com
160,Isabella,Flores,isabella.flores.160@example.com
161,Lara,Torres,lara.torres.161@example.com
162,Camila,Acosta,camila.acosta.162@example.com
163,Lucía,Acosta,lucía.acosta.163@example.com
164,María,Flores,maría.flores.164@example.com
165,Lucía,Ruiz,lucía.ruiz.165@example.com
166,Felipe,Díaz,felipe.díaz.166@example.com
167,Camila,Silva,camila.silva.167@example.com
168,Sofía,Molina,sofía.molina.168@example.com
169,Juan,Ruiz,juan.ruiz.169@example.com
170,Mateo,Sánchez,mateo.sánchez.170@example.com
171,Benjamín,Álvarez,benjamín.álvarez.171@example.com
172,Joaquín,Rojas,joaquín.rojas.172@example.com
173,Juan,Molina,juan.molina.173@example.com
174,Lara,López,lara.lópez.174@example.com
175,Emma,González,emma.gonzález.175@example.com
176,Mateo,García,mateo.garcía.176@example.com
177,Emma,Flores,emma.flores.177@example.com
178,María,Gómez,maría.gómez.178@example.com
179,Alex,Torres,alex.torres.179@example.com
180,Benjamín,Gómez,benjamín.gómez.180@example.com
181,Franco,Díaz,franco.díaz.181@example.com
182,Sofía,Sánchez,sofía.sánchez.182@example.com
183,Juan,Sánchez,juan.sánchez.183@example.com
184,Lucía,Silva,lucía.silva.184@example.com
185,Emma,Martínez,emma.martínez.185@example.com
186,Camila,Fernández,camila.fernández.186@example.com
187,Isabella,Silva,isabella.silva.187@example.com
188,Emma,Silva,emma.silva.188@example.com
189,Santiago,Fernández,santiago.fernández.189@example.com
190,Franco,Gómez,franco.gómez.190@example.com
191,Joaquín,Fernández,joaquín.fernández.191@example.com
192,Felipe,Fernández,felipe.fernández.192@example.com
193,Isabella,Flores,isabella.flores.193@example.com
194,Lara,López,lara.lópez.194@example.com
195,Franco,Ruiz,franco.ruiz.195@example.com
196,Valentina,Flores,valentina.flores.196@example.com
197,Santiago,Silva,santiago.silva.197@example.com
198,Isabella,Díaz,isabella.díaz.198@example.com
199,Valentina,Molina,valentina.molina.199@example.com
200,Lucía,Rojas,lucía.rojas.200@example.com
201,Tomás,Romero,tomás.romero.201@example.com
202,Lucía,López,lucía.lópez.202@example.com
