address_id,line1,line2,city,province_id,postal_code,country_code,created_at
1,Sucursal Buenos Aires - Av. Principal 101,,Buenos Aires,1,1001,AR,2023-12-13 10:49:04
2,Sucursal Córdoba - Av. Principal 102,,Córdoba,2,1002,AR,2023-11-13 13:09:24
3,Sucursal Santa Fe - Av. Principal 103,,Santa Fe,3,1003,AR,2023-07-31 15:36:04
4,Sucursal Mendoza - Av. Principal 104,,Mendoza,4,1004,AR,2023-09-16 13:54:28
1001,Calle 5545,Piso 4 Dto B,Córdoba,2,4934,AR,2024-11-30 05:12:08
1002,Calle 2808,Piso 9 Dto C,Rafaela,3,2071,AR,2023-11-06 01:45:04
1003,Calle 3108,Piso 4 Dto C,CABA,1,7131,AR,2024-09-10 22:05:42
1004,Calle 4007,,Río Cuarto,2,9773,AR,2024-08-04 23:55:39
1005,Calle 4050,Piso 1 Dto C,Santa Fe,3,3071,AR,2025-07-03 13:39:34
1006,Calle 3429,Piso 12 Dto A,Godoy Cruz,4,2062,AR,2024-01-21 02:22:29
1007,Calle 8343,Piso 6 Dto B,Mar del Plata,1,3932,AR,2024-09-16 22:26:09
1008,Calle 7919,Piso 12 Dto B,Río Cuarto,2,5396,AR,2025-01-17 20:21:10
1009,Calle 600,,Río Cuarto,2,8406,AR,2024-05-04 02:29:27
1010,Calle 6964,,La Plata,1,7129,AR,2024-06-04 09:32:16
1011,Calle 1377,Piso 5 Dto B,Córdoba,2,4771,AR,2023-07-08 21:55:09
1012,Calle 5512,Piso 7 Dto B,Mar del Plata,1,8086,AR,2025-01-30 06:51:52
1013,Calle 5195,,La Plata,1,3942,AR,2025-03-22 03:20:26
1014,Calle 1244,Piso 6 Dto A,Mar del Plata,1,9220,AR,2025-07-10 14:14:01
1015,Calle 4529,,CABA,1,2168,AR,2024-11-15 14:36:17
1016,Calle 5469,Piso 4 Dto C,CABA,1,5096,AR,2024-08-18 06:03:17
1017,Calle 4497,,Río Cuarto,2,9898,AR,2024-06-14 15:50:06
1018,Calle 4618,Piso 6 Dto B,La Plata,1,1194,AR,2025-05-08 05:35:03
1019,Calle 6513,,Córdoba,2,8773,AR,2024-05-03 01:49:55
1020,Calle 7680,Piso 12 Dto B,Mar del Plata,1,2406,AR,2024-09-03 08:16:32
1021,Calle 6844,Piso 4 Dto B,Santa Fe,3,1493,AR,2024-12-08 01:50:05
1022,Calle 5007,Piso 12 Dto A,CABA,1,6810,AR,2024-10-14 21:29:29
1023,Calle 6609,Piso 12 Dto C,La Plata,1,6342,AR,2023-06-11 02:26:38
1024,Calle 2280,Piso 3 Dto B,Córdoba,2,7247,AR,2024-03-18 05:17:59
1025,Calle 8758,Piso 7 Dto A,Mendoza,4,2779,AR,2024-09-27 20:05:40
1026,Calle 4992,,Villa Carlos Paz,2,3910,AR,2023-06-24 19:15:06
1027,Calle 8006,,Rafaela,3,2138,AR,2024-12-25 11:10:31
1028,Calle 4770,,CABA,1,8449,AR,2023-08-03 06:00:35
1029,Calle 2816,Piso 6 Dto B,CABA,1,3572,AR,2023-10-25 00:50:01
1030,Calle 7836,Piso 12 Dto A,La Plata,1,4382,AR,2023-11-23 20:13:35
1031,Calle 7082,Piso 12 Dto C,Santa Fe,3,3601,AR,2024-08-30 01:20:04
1032,Calle 7520,,Río Cuarto,2,3337,AR,2025-03-28 10:04:40
1033,Calle 9910,Piso 4 Dto C,La Plata,1,9043,AR,2025-04-19 21:40:10
1034,Calle 1493,Piso 5 Dto C,CABA,1,6681,AR,2024-08-10 01:41:32
1035,Calle 6801,Piso 4 Dto A,CABA,1,8501,AR,2024-12-23 13:21:01
